epoch,average_training_loss,validation_loss,train_eval_loss
1.0,2.384343076923077,2.1020638942718506,1.9957842826843262
2.0,2.148625190839695,2.020484209060669,1.8968026638031006
3.0,2.070877099236641,1.9709210395812988,1.8291467428207397
4.0,2.019167175572519,1.9394561052322388,1.7849482297897339
5.0,1.983219083969466,1.9182157516479492,1.7551203966140747
6.0,1.9545839694656484,1.9135161638259888,1.733034610748291
7.0,1.9293496183206107,1.8962945938110352,1.7074999809265137
8.0,1.9095954198473284,1.8718880414962769,1.6798288822174072
9.0,1.8916648854961833,1.8682140111923218,1.6651471853256226
10.0,1.8748541984732825,1.8609400987625122,1.6505169868469238
11.0,1.859318320610687,1.8539578914642334,1.6357455253601074
12.0,1.8491215384615385,1.8469613790512085,1.6212811470031738
13.0,1.838010687022901,1.8346210718154907,1.6046264171600342
14.0,1.8264229007633586,1.8287259340286255,1.5927059650421143
15.0,1.8169083969465647,1.8209341764450073,1.58086097240448
16.0,1.808020610687023,1.8179645538330078,1.5737272500991821
17.0,1.799132824427481,1.8213446140289307,1.569947361946106
18.0,1.7926374045801527,1.8084125518798828,1.5549949407577515
19.0,1.7831251908396948,1.810680627822876,1.549200415611267
20.0,1.7776526717557253,1.8036726713180542,1.5431064367294312
21.0,1.7706557251908397,1.797850489616394,1.5328086614608765
22.0,1.7633786259541988,1.8030052185058594,1.529585838317871
23.0,1.7583376923076923,1.7959980964660645,1.5210022926330566
24.0,1.7523213740458015,1.7963998317718506,1.5179097652435303
25.0,1.7481167938931297,1.7964928150177002,1.511340856552124
26.0,1.7413893129770994,1.786224126815796,1.5031814575195312
27.0,1.7369511450381678,1.7944233417510986,1.502411961555481
28.0,1.7347297709923664,1.7847404479980469,1.4960373640060425
29.0,1.7296709923664122,1.7828192710876465,1.49100661277771
30.0,1.7248748091603052,1.7831776142120361,1.4847456216812134
31.0,1.719948854961832,1.7841304540634155,1.4799919128417969
32.0,1.7180732824427478,1.7810331583023071,1.4793407917022705
33.0,1.7132999999999998,1.783823013305664,1.4772506952285767
34.0,1.7106023076923076,1.782986044883728,1.4709192514419556
35.0,1.7065007633587785,1.7758913040161133,1.4643934965133667
36.0,1.704506106870229,1.7759758234024048,1.4617048501968384
37.0,1.699134351145038,1.7727912664413452,1.4576208591461182
38.0,1.6968030534351146,1.7789340019226074,1.4581665992736816
39.0,1.6947328244274809,1.7705403566360474,1.4516795873641968
40.0,1.6911702290076338,1.7711259126663208,1.4483447074890137
41.0,1.6888473282442749,1.7771880626678467,1.4492918252944946
42.0,1.685836641221374,1.7760710716247559,1.446377158164978
43.0,1.6830946564885496,1.7738361358642578,1.4431347846984863
44.0,1.682251145038168,1.7720338106155396,1.4401992559432983
45.0,1.6795484615384615,1.765584111213684,1.4364200830459595
46.0,1.6770480916030537,1.7718254327774048,1.436265230178833
47.0,1.6750557251908398,1.7696313858032227,1.4354355335235596
48.0,1.6743786259541984,1.7651077508926392,1.4312525987625122
49.0,1.6708946564885494,1.7686673402786255,1.4295639991760254
50.0,1.6690801526717556,1.7675817012786865,1.4279674291610718
51.0,1.6671954198473282,1.7665959596633911,1.4249317646026611
52.0,1.6681045801526717,1.7679051160812378,1.426196575164795
53.0,1.6657877862595423,1.7683583498001099,1.4247822761535645
54.0,1.662642748091603,1.766911506652832,1.4230681657791138
55.0,1.6599274809160305,1.769400715827942,1.423486351966858
56.0,1.6610638461538458,1.7680532932281494,1.422179102897644
57.0,1.6578923664122136,1.7655606269836426,1.4200043678283691
58.0,1.6595671755725192,1.7662101984024048,1.419494867324829
59.0,1.6541587786259542,1.7656278610229492,1.419402837753296
60.0,1.6563068702290076,1.7666943073272705,1.4196614027023315
